id:ID,bio,createdAt,facebookProfile,instagramHandle,isArg:boolean,name,nationality,stageName,status,twitterHandle,updatedAt,website,youtubeHandle
a15d2c6zn,,2025-10-22T15:13:38.000Z,,,false,FONAMOR,,,DRAFT,,2025-10-22T15:13:38.000Z,,
a163axcg8,,2025-11-15T11:20:18.000Z,,,,Juan Stagno,,,DRAFT,,2025-11-15T11:20:18.000Z,,
a16gvyq59,,2025-11-17T13:59:10.000Z,,,false,Luis Alberto Spinetta,,,DRAFT,,2025-11-17T13:59:10.000Z,,
a17x7z4t1,,2025-10-23T23:26:40.000Z,,@javirez_ahre,false,Javier Reznik,,,DRAFT,,2025-10-23T23:26:40.000Z,,
a180jj4qa,,2025-11-15T10:49:20.000Z,,,,U.S.A. for Africa,,,DRAFT,,2025-11-15T10:49:20.000Z,,
a1cv0bzkr,,2025-10-19T00:00:00.000Z,,,false,Héctor Camaño,Brasil,,DRAFT,,2025-10-19T00:00:00.000Z,,
a1i1o58qg,,2025-10-19T00:00:00.000Z,,,true,Lucas Niro,Argentina,,DRAFT,,2025-10-19T00:00:00.000Z,,
a1izpvy7m,x,2025-11-14T13:06:54.000Z,,,false,Babasonicos,Argentina,,DRAFT,,2025-11-17T23:10:17.000Z,,
a1l7mgjt8,,2025-11-15T00:50:24.000Z,,,,,Argentina,Miranda!,DRAFT,,2025-11-15T00:50:40.000Z,,
a1wdb0hyd,,2025-10-19T00:00:00.000Z,,,true,Lucas Torres,Argentina,,DRAFT,,2025-10-19T00:00:00.000Z,,
a1xt5yysr,,2025-11-16T23:03:12.000Z,,,true,El Negro Andante,Argentina,,DRAFT,,2025-11-16T23:03:12.000Z,,
a1y9qdqpu,,2025-11-17T13:58:51.000Z,,,false,Pescado Rabioso,,,DRAFT,,2025-11-17T13:58:51.000Z,,
a211fnxin,,2025-11-14T11:59:55.000Z,,,,Rata Blanca,,,DRAFT,,2025-11-14T11:59:55.000Z,,
a22mtc7lj,,2025-10-19T00:00:00.000Z,Test facebook,,true,Bersuit Vergarabat,Argentina,,DRAFT,,2025-10-19T00:00:00.000Z,,
a23571njy,,2025-11-16T23:05:40.000Z,,,true,Pedrillom,Argentina,,DRAFT,,2025-11-16T23:05:40.000Z,,
a24fbz5sn,,2025-11-15T01:05:16.000Z,,,,Nico Diaz,,,DRAFT,,2025-11-15T01:05:16.000Z,,
a2bvkc7hx,,2025-11-15T10:42:53.000Z,,,,Nino Bravo,España,Nino Bravo,DRAFT,,2025-11-15T10:43:29.000Z,,
a2dvfuu9f,,2025-10-22T14:16:52.000Z,,,false,El Nuevo Artista,,,DRAFT,,2025-10-22T14:16:52.000Z,,
a2e542sd0,,2025-11-15T01:11:34.000Z,,,,Axel,,Axel,DRAFT,,2025-11-15T01:11:34.000Z,,
a2h21dmnz,,2025-11-17T13:55:19.000Z,,,false,Alex Ubago,,,DRAFT,,2025-11-17T13:55:19.000Z,,
a2h45fd2m,,2025-11-15T11:13:57.000Z,,,,AC/DC,,,DRAFT,,2025-11-15T11:13:57.000Z,,
a2heodkk5,,2025-10-19T00:00:00.000Z,,,false,Matias Mowszet,Gelatina,Mati Mowszet,DRAFT,,2025-10-19T00:00:00.000Z,,
a2kvpvg7s,,2025-11-15T01:00:19.000Z,,,,Los sultanes,,,DRAFT,,2025-11-15T01:00:19.000Z,,
a2md1xe6r,,2025-11-15T10:54:13.000Z,,,,Nico Alvarez,,,DRAFT,,2025-11-15T10:54:13.000Z,,
a2oqqk8ll,Test bio,2025-10-19T00:00:00.000Z,,,false,Los Fabulosos Cadillacs,Argentina,,DRAFT,testTwitter,2025-11-16T23:12:46.000Z,,https://music.youtube.com/channel/UCS7dfokaYTjV6M-cLJEW5RA
a9qtaiil8,,2025-10-19T00:00:00.000Z,,,true,Octavio Gencarelli,Argentina,Octa,DRAFT,,2025-11-14T00:53:59.000Z,,
ab8tl8l1r,,2025-10-22T15:12:07.000Z,,,false,,Argentina,El cuarteto de Nos,DRAFT,,2025-11-14T02:53:33.000Z,,
af8cwl8oz,,2025-11-17T13:58:33.000Z,,,false,Hernan Lindenbaum,,,DRAFT,,2025-11-17T13:58:33.000Z,,
afv2zlhpn,,2025-11-15T10:25:05.000Z,,,,Bob Marley,Jamaica,Bob Marley and The wailers,DRAFT,,2025-11-15T10:30:16.000Z,,
agj72b66u,,2025-11-15T00:56:30.000Z,,,false,Mariu Serrano,Argentina,"Mariu ""The Queen"" Serrano",DRAFT,,2025-11-17T14:50:09.000Z,,
agomdv2a8,,2025-10-19T00:00:00.000Z,,,true,Patricio Rey y sus Redonditos de Ricota,Argentina,,DRAFT,,2025-10-19T00:00:00.000Z,Test website,
aj8ofnmz3,,2025-11-15T11:19:55.000Z,,,,Chayanne,,,DRAFT,,2025-11-15T11:19:55.000Z,,
an5gwxyf6,,2025-11-17T13:50:21.000Z,,,false,Ulises Butron,Argentina,,DRAFT,,2025-11-17T13:50:21.000Z,,
anw11rb0s,,2025-11-15T11:15:32.000Z,,,,Intoxicados,,,DRAFT,,2025-11-15T11:15:32.000Z,,
aw50cutdw,,2025-11-15T01:02:20.000Z,,,,Rodrigo Bueno,,El Potro,DRAFT,,2025-11-15T01:02:20.000Z,,
ax4z6b4j4,,2025-11-16T22:11:18.000Z,,,false,David Bowie,,David Bowie,DRAFT,,2025-11-16T22:11:18.000Z,,
azx3r1oin,,2025-11-15T01:13:54.000Z,,,,Sergio Denis,,,DRAFT,,2025-11-15T01:13:54.000Z,,
