id:ID,stageName,fullName,country,genre,isJinglero:boolean,createdAt,updatedAt
a15d2c6zn,,,,,,2025-10-22T15:13:38.000Z,2025-10-22T15:13:38.000Z
a163axcg8,,,,,,2025-11-15T11:20:18.000Z,2025-11-15T11:20:18.000Z
a16gvyq59,,,,,,2025-11-17T13:59:10.000Z,2025-11-17T13:59:10.000Z
a17x7z4t1,,,,,,2025-10-23T23:26:40.000Z,2025-10-23T23:26:40.000Z
a180jj4qa,,,,,,2025-11-15T10:49:20.000Z,2025-11-15T10:49:20.000Z
a1cv0bzkr,,,,,,2025-10-19T00:00:00.000Z,2025-10-19T00:00:00.000Z
a1i1o58qg,,,,,,2025-10-19T00:00:00.000Z,2025-10-19T00:00:00.000Z
a1izpvy7m,Babasonicos,,,,,2025-11-14T13:06:54.000Z,2025-11-15T00:47:20.000Z
a1l7mgjt8,Miranda!,,,,,2025-11-15T00:50:24.000Z,2025-11-15T00:50:40.000Z
a1wdb0hyd,,,,,,2025-10-19T00:00:00.000Z,2025-10-19T00:00:00.000Z
a1xt5yysr,,,,,,2025-11-16T23:03:12.000Z,2025-11-16T23:03:12.000Z
a1y9qdqpu,,,,,,2025-11-17T13:58:51.000Z,2025-11-17T13:58:51.000Z
a211fnxin,,,,,,2025-11-14T11:59:55.000Z,2025-11-14T11:59:55.000Z
a22mtc7lj,,,,,,2025-10-19T00:00:00.000Z,2025-10-19T00:00:00.000Z
a23571njy,,,,,,2025-11-16T23:05:40.000Z,2025-11-16T23:05:40.000Z
a24fbz5sn,,,,,,2025-11-15T01:05:16.000Z,2025-11-15T01:05:16.000Z
a2bvkc7hx,Nino Bravo,,,,,2025-11-15T10:42:53.000Z,2025-11-15T10:43:29.000Z
a2dvfuu9f,,,,,,2025-10-22T14:16:52.000Z,2025-10-22T14:16:52.000Z
a2e542sd0,Axel,,,,,2025-11-15T01:11:34.000Z,2025-11-15T01:11:34.000Z
a2h21dmnz,,,,,,2025-11-17T13:55:19.000Z,2025-11-17T13:55:19.000Z
a2h45fd2m,,,,,,2025-11-15T11:13:57.000Z,2025-11-15T11:13:57.000Z
a2heodkk5,Mati Mowszet,,,,,2025-10-19T00:00:00.000Z,2025-10-19T00:00:00.000Z
a2kvpvg7s,,,,,,2025-11-15T01:00:19.000Z,2025-11-15T01:00:19.000Z
a2md1xe6r,,,,,,2025-11-15T10:54:13.000Z,2025-11-15T10:54:13.000Z
a2oqqk8ll,,,,,,2025-10-19T00:00:00.000Z,2025-11-16T23:12:46.000Z
a9qtaiil8,Octa,,,,,2025-10-19T00:00:00.000Z,2025-11-14T00:53:59.000Z
ab8tl8l1r,El cuarteto de Nos,,,,,2025-10-22T15:12:07.000Z,2025-11-14T02:53:33.000Z
af8cwl8oz,,,,,,2025-11-17T13:58:33.000Z,2025-11-17T13:58:33.000Z
afv2zlhpn,Bob Marley and The wailers,,,,,2025-11-15T10:25:05.000Z,2025-11-15T10:30:16.000Z
agj72b66u,"Mariu ""The Queen"" Serrano",,,,,2025-11-15T00:56:30.000Z,2025-11-17T14:50:09.000Z
agomdv2a8,,,,,,2025-10-19T00:00:00.000Z,2025-10-19T00:00:00.000Z
aj8ofnmz3,,,,,,2025-11-15T11:19:55.000Z,2025-11-15T11:19:55.000Z
an5gwxyf6,,,,,,2025-11-17T13:50:21.000Z,2025-11-17T13:50:21.000Z
anw11rb0s,,,,,,2025-11-15T11:15:32.000Z,2025-11-15T11:15:32.000Z
aw50cutdw,El Potro,,,,,2025-11-15T01:02:20.000Z,2025-11-15T01:02:20.000Z
ax4z6b4j4,David Bowie,,,,,2025-11-16T22:11:18.000Z,2025-11-16T22:11:18.000Z
azx3r1oin,,,,,,2025-11-15T01:13:54.000Z,2025-11-15T01:13:54.000Z
