id:ID,artistName,cancionId,comment,createdAt,fabricaDate,fabricaId,genre,isJinglazo:boolean,isJinglazoDelDia:boolean,isLive:boolean,isPrecario:boolean,isRepeat:boolean,songTitle,status,timestamp,title,updatedAt
j12fdsh6f,Bersuit Vergarabat,c1pyuqnip,9:06 - Esperando el Impacto - Bersuit Vergarabat - Octa - JINGLAZO EMOTIVO,2025-10-19T00:00:00.000Z,2025-06-05T00:00:00.000Z,0hmxZPp0xq0,Pop,TRUE,FALSE,FALSE,TRUE,FALSE,Esperando el Impacto,DRAFT,00:09:06,Esperando el Impacto,2025-10-19T00:00:00.000Z
j142bvdhe,,,6:52 ) Sin miedo a nada (me muero por conocerte)- Alex Ubago // Son todos delincuentes - Nico Diaz y la Queen Mariu,2025-11-17T13:52:22.000Z,2025-10-30T00:00:00.000Z,DLe3hojAro0,,FALSE,FALSE,FALSE,FALSE,FALSE,,DRAFT,,Son todos delincuentes,2025-11-17T13:55:45.000Z
j14am0rqk,,c2a8bze2t,"Apertura - Viva peron, vivan los jingles",2025-11-15T10:48:23.000Z,,,,,,,,,,DRAFT,,Apertura - Vivan los Jingles,2025-11-15T10:48:23.000Z
j15pq9li1,,c2krubxbm,1:19:11 - Massa (por la negativa) / Wos (a guitarra),2025-11-18T00:05:54.000Z,2023-07-05T23:00:00.000Z,HBaMt4otcAU,,,,,,,,DRAFT,,1:19:11 - Massa (por la negativa) / Wos (a guitarra),2025-11-18T14:41:07.000Z
j19f8dhtg,,c1ip5glun,26:00 Sergio Denis,2025-11-15T01:13:22.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Sergio Denis,2025-11-15T01:14:50.000Z
j1anqw115,,c1o9kaya5,2:24 Highway to Hell - AC/DC - El Negro Andante,2025-11-15T11:13:08.000Z,6/11/2025,2LbnV-Wss4g,,FALSE,FALSE,FALSE,FALSE,FALSE,,DRAFT,,Que mal que canta Milei,2025-11-16T23:04:20.000Z
j1gc3vdws,,co1z6wxpb,"Apertura - Jingles, quiero jingles",2025-11-15T10:41:52.000Z,,,,,,,,,,DRAFT,,Apertura - Jingles,2025-11-15T10:41:52.000Z
j1gt3d6d3,,c27jzw2f9,,2025-11-15T00:54:21.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Tu misterioso alguien,2025-11-15T00:55:20.000Z
j1k7plea5,,,13:45 Sólo tus Canciones - Daniela Herrero - Mariu la Queen Serrano,2025-11-15T11:17:04.000Z,6/11/2025,2LbnV-Wss4g,,,,,,,,DRAFT,,13:45 Sólo tus Canciones - Daniela Herrero - Mariu la Queen Serrano,2025-11-15T11:17:04.000Z
j1mvf6htv,Patricio Rey y sus Redonditos de Ricota,cubspd2lh,7:14 - Estás Frito Angelito - Patricio Rey y sus Redonditos de Ricota - Lucas Torres,2025-10-19T00:00:00.000Z,2025-06-05T00:00:00.000Z,0hmxZPp0xq0,Rock,TRUE,FALSE,FALSE,FALSE,FALSE,Estás Frito Angelito,DRAFT,00:07:14,Estás Frito Angelito,2025-11-15T10:18:56.000Z
j1pc6fnzf,,,14:39 - Chispita Fadul / ?,2025-11-18T11:29:55.000Z,,,,,,,,,,DRAFT,,14:39 - Chispita Fadul / ?,2025-11-18T11:29:55.000Z
j1ybh07sl,,,15:10) El anillo del Capitan Beto - Spinetta// Ahi va el capitan Diego - El negro andante,2025-11-17T13:59:59.000Z,2025-10-30T00:00:00.000Z,DLe3hojAro0,,FALSE,FALSE,FALSE,FALSE,FALSE,,DRAFT,,Ahi va el capitan Diego,2025-11-18T14:34:50.000Z
j1yvs1izu,,c92xpioah,16:51 - ESTOY SALIENDO CON UN MAZON (Los sultanes),2025-11-15T00:59:08.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Estoy saliendo con un mason,2025-11-15T00:59:40.000Z
j204wz6nw,,c2ivbsmdz,"21:55 ) Para no olvidar - Los Rodriguez// Estar despiertos, jamás hundido - Lauti el Monje cortoplacista ",2025-11-18T14:29:49.000Z,2025-10-30T00:00:00.000Z,DLe3hojAro0,,FALSE,FALSE,FALSE,FALSE,FALSE,,DRAFT,,"Estar despiertos, jamás hundidos",2025-11-18T14:32:51.000Z
j228pm3uh,,c1b5ti86b,5:40 El loco - Babasónicos // Soy amigo de Scott /Trump // Nico Álvarez,2025-11-15T10:52:55.000Z,2025-10-23T22:26:41.000Z,DBbyI99TtIM,,,,,,,,DRAFT,,Soy amigo de Scott,2025-11-15T10:53:46.000Z
j2472p8fr,,c1uua8142,,2025-11-15T01:01:33.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Soy un adicto al FIT,2025-11-15T01:03:10.000Z
j28nwqyzo,Los Fabulosos Cadillacs,c2lgbes4s,"2:50 - Manuel Santillán, el León - Los Fabulosos Cadillacs - Lucas Niro - cluacas",2025-10-19T00:00:00.000Z,2025-06-04T23:00:00.000Z,0hmxZPp0xq0,Reggae,TRUE,TRUE,FALSE,TRUE,FALSE,"Manuel Santillán, el León",DRAFT,00:02:50,Cluacas en PBA,2025-11-14T00:20:39.000Z
j28uvuzh8,Patricio Rey y sus Redonditos de Ricota,clz30wskt,5:10 - El Infierno Está Encantador Esta Noche - Patricio Rey y sus Redonditos de Ricota - Mati Mowszet & Héctor Camaño - por qué el peaje no pagó,2025-10-19T00:00:00.000Z,2025-06-05T00:00:00.000Z,0hmxZPp0xq0,Rock,TRUE,FALSE,FALSE,TRUE,FALSE,El Infierno Está Encantador Esta Noche,DRAFT,00:05:10,El Infierno Está Encantador Esta Noche,2025-10-22T14:15:44.000Z
j29ejr960,,cg0i7utzn,5:01 - BABASONICOS (Calientes) - MATI DÉJALA MANEJAR,2025-11-14T13:05:00.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Dejala manejar el coche,2025-11-14T13:15:02.000Z
j29g1hi7n,,,3:48 ) El amor es mas fuerte - Ulises Butrón// El Diego nunca se vende - Lucas Niro,2025-11-17T13:47:30.000Z,2025-10-30T00:00:00.000Z,DLe3hojAro0,,FALSE,FALSE,FALSE,FALSE,FALSE,,DRAFT,,El Diego nunca se vende,2025-11-17T13:48:42.000Z
j2i6jzom2,,cq8eiohvu,9:51- Grabois / ?,2025-11-18T10:46:00.000Z,2023-06-29T00:00:00.000Z,t4xLg702Yn0,,FALSE,FALSE,FALSE,TRUE,FALSE,,DRAFT,,9:51- Grabois / ?,2025-11-18T10:51:41.000Z
j2iw1o9gl,,c1kotwhd2,11:03 - FANTASMAS MIRANDA!,2025-11-15T00:48:19.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Fantasmas,2025-11-15T00:52:50.000Z
j2m1g71bi,,,"13:47 - Massa, Rossi y Kicillof / Que personajes ",2025-11-18T11:00:37.000Z,2023-06-29T00:00:00.000Z,t4xLg702Yn0,,,,,,,,DRAFT,,"13:47 - Massa, Rossi y Kicillof / Que personajes ",2025-11-18T11:00:38.000Z
j2q4rscer,,,11:05 ) Todas las hojas son del viento- Pescado rabioso //Todos los días pienso en Diego- Hernan Lindenbaum y Nacho?,2025-11-17T13:56:56.000Z,2025-10-30T00:00:00.000Z,DLe3hojAro0,,,,,,,,DRAFT,,Todos los días pienso en Diego,2025-11-17T13:56:56.000Z
j355hbbnu,,c2ppaoj9q,08:57 Desfachatados,2025-11-14T14:01:49.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Desfachatados,2025-11-15T00:44:41.000Z
j5hrxjtsj,,,10:49 Tortazos - Edmundo Rivero - El Monje Cortoplacista,2025-11-15T11:16:42.000Z,6/11/2025,2LbnV-Wss4g,,,,,,,,DRAFT,,10:49 Tortazos - Edmundo Rivero - El Monje Cortoplacista,2025-11-15T11:16:42.000Z
j846ma9g5,,c1ju79w77,22:57 Axel (?),2025-11-15T01:08:14.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Yo quiero ser Sherlock Holmes,2025-11-15T01:10:36.000Z
j95ixwnum,,c2nqwmhxp,"3:44 Yendo a la casa de Damián - El Cuarteto de Nos // Humillado en la white house, soy la p*** de Donald Trump - FONAMOR",2025-10-22T14:40:26.000Z,2025-10-23T22:26:41.000Z,DBbyI99TtIM,,TRUE,FALSE,FALSE,FALSE,FALSE,,DRAFT,00:03:44,"Humillado en la White House, soy la p*** de Donald Trump",2025-11-14T02:31:50.000Z
jc848lelo,,c1fqz1pnw,1:17:10 - PASO (Grabois y Massa) / (?),2025-11-18T00:00:48.000Z,2023-07-05T23:00:00.000Z,HBaMt4otcAU,,,,,,,,DRAFT,,1:17:10 - PASO (Grabois y Massa) / (?),2025-11-18T00:04:37.000Z
jgxej3kih,,cf9orfliz,,2025-11-15T10:23:57.000Z,26/06/2023,t4xLg702Yn0,,FALSE,FALSE,FALSE,TRUE,FALSE,,DRAFT,,Es Kicillof...,2025-11-18T10:44:34.000Z
jhvcqfy6i,,c1i50dgbx,2:55 - RATA BLANCA,2025-11-14T11:58:16.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Embajador paspado,2025-11-14T13:36:36.000Z
jl9yy8k9s,,c1nn2vm4r,17:54 Pokémon Opening (Maslaton) - Nico Díaz,2025-11-15T11:17:23.000Z,6/11/2025,2LbnV-Wss4g,,,,,,,,DRAFT,,17:54 Pokémon Opening (Maslaton) - Nico Díaz,2025-11-15T11:17:23.000Z
jof56g6vj,,c1919phir,4:38 Pila Pila - Intoxicados - Pedrillom,2025-11-15T11:14:33.000Z,6/11/2025,2LbnV-Wss4g,,,,,,,,DRAFT,,Pina pina,2025-11-15T11:15:03.000Z
jvfgq2z9f,,,20:00 Starman - David Bowie - Dijo Feinmann,2025-11-15T11:17:44.000Z,6/11/2025,2LbnV-Wss4g,,FALSE,TRUE,FALSE,FALSE,FALSE,,DRAFT,,Dijo Feinmann,2025-11-17T15:06:03.000Z
jyebp014e,,c2klrfcch,8:47 Torero - Chayanne - Juan Stagno,2025-11-15T11:16:10.000Z,6/11/2025,2LbnV-Wss4g,,,,,,,,DRAFT,,8:47 Torero - Chayanne - Juan Stagno,2025-11-15T11:16:17.000Z
jyzjddkg7,,,15:10 - Grabois / Vete y pega la vuelta,2025-11-18T11:13:24.000Z,2023-06-29T00:00:00.000Z,t4xLg702Yn0,,,,,,,,DRAFT,,15:10 - Grabois / Vete y pega la vuelta,2025-11-18T12:38:24.000Z
,,,3:32 - Como Ali- Los Piojos - Las Empanadas de Darin- El Negro Andante? - JINGLAZO,,,b5lCSCtoTq0,,,,,,,,,03:32,3:32 - Como Ali- Los Piojos - Las Empanadas de Darin- El Negro Andante? - JINGLAZO,
,,,5:13- Back in Black- AC/DC-Jueza Makintach,,,b5lCSCtoTq0,,,,,,,,,05:13,5:13- Back in Black- AC/DC-Jueza Makintach,
,,,6:23 - Loco un Poco - Turf - Marquitos y Pedro?,,,b5lCSCtoTq0,,,,,,,,,06:23,6:23 - Loco un Poco - Turf - Marquitos y Pedro?,
,,,8:37 - Zamba para olvidar - Julio Fontana - Nicolás Díaz-JINGLAZO,,,b5lCSCtoTq0,,,,,,,,,08:37,8:37 - Zamba para olvidar - Julio Fontana - Nicolás Díaz-JINGLAZO,
,,,"13:27 -Quizás, Quizás, Quizás - Los Panchos - Mariu La Queen Serrano- Es más, es más, es más - JINGLAZO!!!",,,b5lCSCtoTq0,,,,,,,,,13:27,"13:27 -Quizás, Quizás, Quizás - Los Panchos - Mariu La Queen Serrano- Es más, es más, es más - JINGLAZO!!!",
,,,15:16 - El Brujito de Gulubú - María Elena Walsh,,,b5lCSCtoTq0,,,,,,,,,15:16,15:16 - El Brujito de Gulubú - María Elena Walsh,
,,,17:28 -LO MEJOR DE LO MEJOR- LOUTA,,,b5lCSCtoTq0,,,,,,,,,17:28,17:28 -LO MEJOR DE LO MEJOR- LOUTA,
,,,20:00 - She Don't Give a Fo- Duki - No Lo Saludó- JINGLAZO,,,b5lCSCtoTq0,,,,,,,,,20:00,20:00 - She Don't Give a Fo- Duki - No Lo Saludó- JINGLAZO,
,,,22:06- Rock DJ- Robbie Williams - Basta ya del che Milei-JINGLAZO,,,b5lCSCtoTq0,,,,,,,,,22:06,22:06- Rock DJ- Robbie Williams - Basta ya del che Milei-JINGLAZO,
,,,24:48 -Las Divinas - Brenda Asnicar,,,b5lCSCtoTq0,,,,,,,,,24:48:00,24:48 -Las Divinas - Brenda Asnicar,
,,,26:44 - El Kun Agüero - Los Leales,,,b5lCSCtoTq0,,,,,,,,,26:44:00,26:44 - El Kun Agüero - Los Leales,
,,,28:24-Pepe Lui-Divididos,,,b5lCSCtoTq0,,,,,,,,,28:24:00,28:24-Pepe Lui-Divididos,
,,,30:28 - Agárrense De Las Maños - José Luis Rodríguez- Lucas Niro- Ni en pedo le doy la mano - JINGLAZO,,,b5lCSCtoTq0,,,,,,,,,30:28:00,30:28 - Agárrense De Las Maños - José Luis Rodríguez- Lucas Niro- Ni en pedo le doy la mano - JINGLAZO,
,,,32:56 - Paloma - Andrés Calamaro - Nico Álvarez -No jodan con Maradona -JINGLAZO,,,b5lCSCtoTq0,,,,,,,,,32:56:00,32:56 - Paloma - Andrés Calamaro - Nico Álvarez -No jodan con Maradona -JINGLAZO,
,,,4:00 - IMPOSTOR - CA7RIEL & Paco Amoroso - Pedrillom,,,6IjxzOQ_gY8,,,,,,,,,04:00,4:00 - IMPOSTOR - CA7RIEL & Paco Amoroso - Pedrillom,
,,,6:10 - El Farzante - Ozuna - Los Regatoneros Troskos - Bregman,,,6IjxzOQ_gY8,,,,,,,,,06:10,6:10 - El Farzante - Ozuna - Los Regatoneros Troskos - Bregman,
,,,8:18 - Mi Cama Huele a Ti - Tito El Bambino - Es que la CABA huele a pis - Larreta - JINGLAZO,,,6IjxzOQ_gY8,,,,,,,,,08:18,8:18 - Mi Cama Huele a Ti - Tito El Bambino - Es que la CABA huele a pis - Larreta - JINGLAZO,
,,,"10:43 - Rap das Armas - Cidinho & Doca - Marquitos, el jinglero más rápido del oeste!",,,6IjxzOQ_gY8,,,,,,,,,10:43,"10:43 - Rap das Armas - Cidinho & Doca - Marquitos, el jinglero más rápido del oeste!",
,,,12:48 - Si Antes Te Hubiera Conocido - Jose Baldemar - El Comando Bandido,,,6IjxzOQ_gY8,,,,,,,,,12:48,12:48 - Si Antes Te Hubiera Conocido - Jose Baldemar - El Comando Bandido,
,,,14:52 - Que Digan Lo Que Quieran - Natalia Oreiro - Mariu Serrano,,,6IjxzOQ_gY8,,,,,,,,,14:52,14:52 - Que Digan Lo Que Quieran - Natalia Oreiro - Mariu Serrano,
,,,18:42 - Un Osito de Peluche de Taiwán - Los Auténticos Decadentes - Juan Mitidieri - Eternauta - JINGLAZO,,,6IjxzOQ_gY8,,,,,,,,,18:42,18:42 - Un Osito de Peluche de Taiwán - Los Auténticos Decadentes - Juan Mitidieri - Eternauta - JINGLAZO,
,,,20:48 - El Farolito - Los Piojos - Dame un Coquito - JINGLAZO DEL DÍA!!!!,,,6IjxzOQ_gY8,,,,,,,,,20:48,20:48 - El Farolito - Los Piojos - Dame un Coquito - JINGLAZO DEL DÍA!!!!,
,,,23:02 - Vamos las Bandas - Patricio Rey y sus Redonditos de Ricota - Lucas Torres - JINGLAZO PRECARIO,,,6IjxzOQ_gY8,,,,,,,,,23:02,23:02 - Vamos las Bandas - Patricio Rey y sus Redonditos de Ricota - Lucas Torres - JINGLAZO PRECARIO,
,,,24:47 - Jugo de Tomate Frío - Manal - El Negro Andante,,,6IjxzOQ_gY8,,,,,,,,,24:47:00,24:47 - Jugo de Tomate Frío - Manal - El Negro Andante,
,,,27:19 - Encuentro Con el Diablo - Serú Girán - El Monje Cortoplacista,,,6IjxzOQ_gY8,,,,,,,,,27:19:00,27:19 - Encuentro Con el Diablo - Serú Girán - El Monje Cortoplacista,
,,,29:48 - Yo Te Amo - Sandro - Al Coreano - Kim Moreno - JINGLAZO!!,,,6IjxzOQ_gY8,,,,,,,,,29:48:00,29:48 - Yo Te Amo - Sandro - Al Coreano - Kim Moreno - JINGLAZO!!,
,,,33:43 - Sabor A Mí - Luis Miguel - Porque hay olor a pis - Larreta - JINGLAZO,,,6IjxzOQ_gY8,,,,,,,,,33:43:00,33:43 - Sabor A Mí - Luis Miguel - Porque hay olor a pis - Larreta - JINGLAZO,
,,,36:17 - Un Velero Llamado Libertad - José Luis Perales - Blas Ferrari - Bullrich - Y se afilió - JINGLAZO!!,,,6IjxzOQ_gY8,,,,,,,,,36:17:00,36:17 - Un Velero Llamado Libertad - José Luis Perales - Blas Ferrari - Bullrich - Y se afilió - JINGLAZO!!,
,,,38:51 - Tax Man - Los Beatles,,,6IjxzOQ_gY8,,,,,,,,,38:51:00,38:51 - Tax Man - Los Beatles,
,,,40:41 - Las Demás - Babasónicos - Lía Copello & Marquitos,,,6IjxzOQ_gY8,,,,,,,,,40:41:00,40:41 - Las Demás - Babasónicos - Lía Copello & Marquitos,
,,,43:51 - El Magnetismo - Él Mató a un Policía Motorizado - Kim te va a cuidar,,,6IjxzOQ_gY8,,,,,,,,,43:51:00,43:51 - El Magnetismo - Él Mató a un Policía Motorizado - Kim te va a cuidar,
,,,46:18 - #TETAS - CA7RIEL & Paco Amoroso - soy Larreta,,,6IjxzOQ_gY8,,,,,,,,,46:18:00,46:18 - #TETAS - CA7RIEL & Paco Amoroso - soy Larreta,
,,,3:05 - Todavía Cantamos - Víctor Heredia - El Negro Andante,,,olGX402DAqk,,,,,,,,,03:05,3:05 - Todavía Cantamos - Víctor Heredia - El Negro Andante,
,,,5:32 - Mi Cuarto - Vivencia - Larreta - Juan Mitidieri,,,olGX402DAqk,,,,,,,,,05:32,5:32 - Mi Cuarto - Vivencia - Larreta - Juan Mitidieri,
,,,8:03 - Tu Vicio - Charly Garcia - Mauricio no va más - Marquitos,,,olGX402DAqk,,,,,,,,,08:03,8:03 - Tu Vicio - Charly Garcia - Mauricio no va más - Marquitos,
,,,10:52 - Salir Segundos - Cebollitas - Santoro - JINGLAZO!!,,,olGX402DAqk,,,,,,,,,10:52,10:52 - Salir Segundos - Cebollitas - Santoro - JINGLAZO!!,
,,,12:39 - Octavo Día - Shakira - Lauti el Monje Cortoplacista,,,olGX402DAqk,,,,,,,,,12:39,12:39 - Octavo Día - Shakira - Lauti el Monje Cortoplacista,
,,,15:05 - Fallin - Alicia Keys - Adorni - Mariu QUEEN Serrano - JINGLAZO,,,olGX402DAqk,,,,,,,,,15:05,15:05 - Fallin - Alicia Keys - Adorni - Mariu QUEEN Serrano - JINGLAZO,
,,,18:09 - Beat It - Michael Jackson - Biondini - Nico Diaz - JINGLAZO PRECARIO,,,olGX402DAqk,,,,,,,,,18:09,18:09 - Beat It - Michael Jackson - Biondini - Nico Diaz - JINGLAZO PRECARIO,
,,,21:51 - Abracadabra - Lady Gaga - Lia Copello - Cata Ciudad 💚,,,olGX402DAqk,,,,,,,,,21:51,21:51 - Abracadabra - Lady Gaga - Lia Copello - Cata Ciudad 💚,
,,,24:10 - Llorarás por Mi - Chapa C - Leo Pressi - JINGLAZO MORFLEPS,,,olGX402DAqk,,,,,,,,,24:10:00,24:10 - Llorarás por Mi - Chapa C - Leo Pressi - JINGLAZO MORFLEPS,
,,,"28:32 - Yo Me Enamoré - Amar Azul - Larreta - Yo yo la choque, la calesita yo la choque - JINGLAZO DEL DÍA!",,,olGX402DAqk,,,,,,,,,28:32:00,"28:32 - Yo Me Enamoré - Amar Azul - Larreta - Yo yo la choque, la calesita yo la choque - JINGLAZO DEL DÍA!",
,,,5:06 - Nunca Me Faltes - Antonio Ríos - Lucas Bonfante - El Negro Andante - JINGLAZO,,,7GI2yYvB_Ms,,,,,,,,,05:06,5:06 - Nunca Me Faltes - Antonio Ríos - Lucas Bonfante - El Negro Andante - JINGLAZO,
,,,7:36 - La Bicicleta - Estudio K L - Larreta,,,7GI2yYvB_Ms,,,,,,,,,07:36,7:36 - La Bicicleta - Estudio K L - Larreta,
,,,9:21 - Si Tú Supieras Cuanto Yo a Ti Te Amo - Makano - Lospennato,,,7GI2yYvB_Ms,,,,,,,,,09:21,9:21 - Si Tú Supieras Cuanto Yo a Ti Te Amo - Makano - Lospennato,
,,,11:45 - AGUA - CA7RIEL & Paco Amoroso & TINI - Marra,,,7GI2yYvB_Ms,,,,,,,,,11:45,11:45 - AGUA - CA7RIEL & Paco Amoroso & TINI - Marra,
,,,13:38 - Abarajame - Illya Kuryaki & The Valderramas - Santoro - JINGLAZO REDUX!,,,7GI2yYvB_Ms,,,,,,,,,13:38,13:38 - Abarajame - Illya Kuryaki & The Valderramas - Santoro - JINGLAZO REDUX!,
,,,15:31 - El Satánico Dr Cadillac - Los Fabulosos Cadillacs - Caruso - Juan Stagno,,,7GI2yYvB_Ms,,,,,,,,,15:31,15:31 - El Satánico Dr Cadillac - Los Fabulosos Cadillacs - Caruso - Juan Stagno,
,,,18:07 - El Baile De La Gambeta - Bersuit Vergarabat - Santoro,,,7GI2yYvB_Ms,,,,,,,,,18:07,18:07 - El Baile De La Gambeta - Bersuit Vergarabat - Santoro,
,,,20:37 - La Del Toro - Bersuit Vergarabat - Santoro - El Negro Andante,,,7GI2yYvB_Ms,,,,,,,,,20:37,20:37 - La Del Toro - Bersuit Vergarabat - Santoro - El Negro Andante,
,,,23:07 - Por la Ciudad - La Vela Puerca - Caruso - Marquitos - JINGLAZO,,,7GI2yYvB_Ms,,,,,,,,,23:07,23:07 - Por la Ciudad - La Vela Puerca - Caruso - Marquitos - JINGLAZO,
,,,25:21 - Cable A Tierra - Fito Páez - El Pitu Salvatierra,,,7GI2yYvB_Ms,,,,,,,,,25:21:00,25:21 - Cable A Tierra - Fito Páez - El Pitu Salvatierra,
,,,28:01 - De Mí - Charly García - Kim - JINGLAZO,,,7GI2yYvB_Ms,,,,,,,,,28:01:00,28:01 - De Mí - Charly García - Kim - JINGLAZO,
,,,30:00 - Anhedonia - Charly Garcia - Lauti El Monje Cortoplacista,,,7GI2yYvB_Ms,,,,,,,,,30:00:00,30:00 - Anhedonia - Charly Garcia - Lauti El Monje Cortoplacista,
,,,32:45 - Pasos Al Costado - Turf - Caruso - Octa - JINGLAZO,,,7GI2yYvB_Ms,,,,,,,,,32:45:00,32:45 - Pasos Al Costado - Turf - Caruso - Octa - JINGLAZO,
,,,35:37 - Una Lágrima Sobre el Teléfono - Paz Martínez - Papaleo? - JINGLAZO,,,7GI2yYvB_Ms,,,,,,,,,35:37:00,35:37 - Una Lágrima Sobre el Teléfono - Paz Martínez - Papaleo? - JINGLAZO,
,,,"38:43 - Te Extraño, Te Olvido, Te Amo - Ricky Martin - Santoro - LauLaDelHamster y JotaPabloFr JINGLAZO PRECARIO!",,,7GI2yYvB_Ms,,,,,,,,,38:43:00,"38:43 - Te Extraño, Te Olvido, Te Amo - Ricky Martin - Santoro - LauLaDelHamster y JotaPabloFr JINGLAZO PRECARIO!",
,,,42:57 - Señora de las Cuatro Décadas - Ricardo Arjona - Abal Medina - JINGLAZO DEL DÍA!!!!!,,,7GI2yYvB_Ms,,,,,,,,,42:57:00,42:57 - Señora de las Cuatro Décadas - Ricardo Arjona - Abal Medina - JINGLAZO DEL DÍA!!!!!,
,,,48:34 - La Vida No Es la Misma Sin Futbol - Jauregui - Caruso,,,7GI2yYvB_Ms,,,,,,,,,48:34:00,48:34 - La Vida No Es la Misma Sin Futbol - Jauregui - Caruso,
,,,"01:47 Negro Andante - Viva Perón, Vivan los Jingles",,,nxdEJKS-mRU,,,,,,,,,01:47,"01:47 Negro Andante - Viva Perón, Vivan los Jingles",
,,,08:04 Pappo - Rock and Roll y Fiebre,,,nxdEJKS-mRU,,,,,,,,,08:04,08:04 Pappo - Rock and Roll y Fiebre,
,,,11:39 2 minutos - Ya no sos igual (#FreeMarcos),,,nxdEJKS-mRU,,,,,,,,,11:39,11:39 2 minutos - Ya no sos igual (#FreeMarcos),
,,,15:33 Los Piojos - Desde Lejos No Se Ve,,,nxdEJKS-mRU,,,,,,,,,15:33,15:33 Los Piojos - Desde Lejos No Se Ve,
,,,19:20 Los Caballeros de la Quema - Avanti Morocha,,,nxdEJKS-mRU,,,,,,,,,19:20,19:20 Los Caballeros de la Quema - Avanti Morocha,
,,,"23:40 La Delio Valdéz - Negra, Ron y Velas",,,nxdEJKS-mRU,,,,,,,,,23:40,"23:40 La Delio Valdéz - Negra, Ron y Velas",
,,,26:31 La Delio Valdéz,,,nxdEJKS-mRU,,,,,,,,,26:31:00,26:31 La Delio Valdéz,
,,,32:34 Bersuit Vergarabat - Sr Cobranza,,,nxdEJKS-mRU,,,,,,,,,32:34:00,32:34 Bersuit Vergarabat - Sr Cobranza,
,,,37:03 Bersuit Vergarabat,,,nxdEJKS-mRU,,,,,,,,,37:03:00,37:03 Bersuit Vergarabat,
,,,44:15 The Human League - Dont You Want Me,,,nxdEJKS-mRU,,,,,,,,,44:15:00,44:15 The Human League - Dont You Want Me,
,,,48:00 Intoxicados- Señor Kioskero,,,nxdEJKS-mRU,,,,,,,,,48:00:00,48:00 Intoxicados- Señor Kioskero,
,,,50:55 Pink Floyd - Another Brick in the Wall,,,nxdEJKS-mRU,,,,,,,,,50:55:00,50:55 Pink Floyd - Another Brick in the Wall,
,,,57:34 Whitney Houston -  I Will Always Love You,,,nxdEJKS-mRU,,,,,,,,,57:34:00,57:34 Whitney Houston -  I Will Always Love You,
,,,1:02:31 Andrea Bocelli Y Marta Sanchez - Vivo Por Ella,,,nxdEJKS-mRU,,,,,,,,,01:02:31,1:02:31 Andrea Bocelli Y Marta Sanchez - Vivo Por Ella,
,,,1:07:07 Victor Heredia - Ojos De Cielo,,,nxdEJKS-mRU,,,,,,,,,01:07:07,1:07:07 Victor Heredia - Ojos De Cielo,
,,,1:11:11  Mercedes Sosa - Todo Cambia,,,nxdEJKS-mRU,,,,,,,,,01:11:11,1:11:11  Mercedes Sosa - Todo Cambia,
,,,1:17:17 Village People - Y.M.C.A,,,nxdEJKS-mRU,,,,,,,,,01:17:17,1:17:17 Village People - Y.M.C.A,
,,,1:20:12 Beyoncé - Crazy in Love,,,nxdEJKS-mRU,,,,,,,,,01:20:12,1:20:12 Beyoncé - Crazy in Love,
,,,1:23:30 Roxette - The Look,,,nxdEJKS-mRU,,,,,,,,,01:23:30,1:23:30 Roxette - The Look,
