ID,Title,Author,YouTube ID,createdAt,musicBrainzConfidence,displayBadges,normSearch,musicBrainzId,displaySecondary,displayPrimary,updatedAt,status,album,genre,year,autorIds
c108zag7m,Lloraras por mi,Chapa C,,2025-11-18T23:03:55.000Z,0.9,,lloraras por mi chapa c,218c7269-7463-4eca-8820-fb2f88aaf467,🚚: Chapa C • 🎤: 1,📦 Lloraras por mi,2025-12-14T10:28:55.000Z,DRAFT,,,,a1p3hcoe2
c10fn7smk,¿A quién le importa?,Thalía,,2025-12-01T15:59:04.000Z,,,¿a quien le importa? thalia thalia,6aae6ae9-0547-464f-a852-7a28c563c002,🚚: Thalía • Thalía • 🎤: 1,📦 ¿A quién le importa?,2025-12-14T10:30:13.000Z,DRAFT,Thalía,latin pop,,avp1oimxg
c116ldiwb,La guitarra,Los Auténticos Decadentes,,2025-11-22T15:57:32.000Z,0.9,,la guitarra los autenticos decadentes mi vida loca,cff492a1-0a5e-4bfb-99c2-8f0e3cbe2da2,🚚: Los Auténticos Decadentes • Mi vida loca • 🎤: 4,📦 La guitarra,2025-12-14T10:29:19.000Z,DRAFT,Mi vida loca,,,a15alzuwl
c11iyepsd,"Ciega, sordomuda",Shakira,,2025-12-07T21:45:12.000Z,,,"ciega, sordomuda shakira shakira 2003",0545ca6e-2533-47b6-8bd3-39848a92d206,🚚: Shakira • Shakira • 2003 • 🎤: 1,"📦 Ciega, sordomuda",2025-12-14T10:32:58.000Z,DRAFT,Shakira,,2003,a1mjh19a5
c11jxe2eu,Todo cambia,Mercedes Sosa,,2025-11-18T23:54:57.000Z,0.9,,todo cambia mercedes sosa,bb6f13be-6c2d-4730-b436-76830fdb345c,🚚: Mercedes Sosa • 🎤: 2,📦 Todo cambia,2025-12-14T10:29:05.000Z,DRAFT,,,,a21dmb2j7
c124w3hoq,Balada del diablo y la muerte,La Renga,,2025-12-01T14:58:25.000Z,,,balada del diablo y la muerte la renga despedazado por mil partes 1996,f0dda7c4-e0df-49b1-a110-8bf9165d3531,🚚: La Renga • Despedazado por mil partes • 1996 • 🎤: 2,📦 Balada del diablo y la muerte,2025-12-14T10:29:55.000Z,DRAFT,Despedazado por mil partes,,1996,a18u7c3rn
c12v45vy8,Ojo con los Orozco,León Gieco,,2025-12-01T19:16:58.000Z,,,ojo con los orozco leon gieco leon gieco 2001,22da3317-9514-4f32-a7ed-4f0a2afd84f7,🚚: León Gieco • León Gieco • 2001 • 🎤: 2,📦 Ojo con los Orozco,2025-12-14T10:30:36.000Z,DRAFT,León Gieco,,2001,a23sjkxn1
c134ki2bc,Loco (tu forma de ser),Los Auténticos Decadentes,,2025-12-01T21:24:25.000Z,,,loco (tu forma de ser) los autenticos decadentes molodoi 64,6da068cd-342c-47df-9a14-98029b6ed7ce,🚚: Los Auténticos Decadentes • Molodoi 64 • 🎤: 3,📦 Loco (tu forma de ser),2025-12-14T10:30:52.000Z,DRAFT,Molodoi 64,,,a15alzuwl
c137ckvhq,Salir segundos,Cebollitas,,2025-11-18T22:49:41.000Z,,,salir segundos cebollitas,,🚚: Cebollitas • 🎤: 1,📦 Salir segundos,2025-12-14T10:28:50.000Z,DRAFT,,,,an39360br
c13rmu6mp,Muñecas,Dillom,,2025-12-01T19:06:57.000Z,,,munecas dillom por cesarea 2024,766f593b-52b8-4843-a981-316e9aa677a0,🚚: Dillom • Por cesárea • 2024 • 🎤: 1,📦 Muñecas,2025-12-14T10:30:30.000Z,DRAFT,Por cesárea,,2024,a1iwbl4mm
c13zdcagu,Holding Out for a Hero,Bonnie Tyler,,2025-12-07T21:50:08.000Z,,,holding out for a hero bonnie tyler the very best of 1992,9cf95613-dee7-4b72-97d4-d94683ff2977,🚚: Bonnie Tyler • The Very Best Of • 1992 • 🎤: 1,📦 Holding Out for a Hero,2025-12-14T10:33:00.000Z,DRAFT,The Very Best Of,,1992,a1zqvwv0o
c140gtfso,Pobre diabla,Don Omar,,2025-12-04T01:07:32.000Z,,,pobre diabla don omar don omar 2012,00dd26f1-e8ce-4047-a9d0-d81da74595c3,🚚: Don Omar • Don Omar • 2012 • 🎤: 1,📦 Pobre diabla,2025-12-14T10:32:34.000Z,DRAFT,Don Omar,,2012,avzyn031x
c1443vawh,Ciudad de la paz,Dillom,,2025-12-01T14:57:17.000Z,,,ciudad de la paz dillom por cesarea 2024,047ce5e5-9cc3-42e1-924e-7a5407db17ef,🚚: Dillom • Por cesárea • 2024 • 🎤: 1,📦 Ciudad de la paz,2025-12-14T10:29:55.000Z,DRAFT,Por cesárea,,2024,a1iwbl4mm
c1469me3u,Más o menos bien,El Mató a un Policía Motorizado,,2025-12-02T12:45:53.000Z,,,mas o menos bien el mato a un policia motorizado la dinastia scorpio 2012,46544179-95ba-4811-81f9-af944e100434,🚚: El Mató a un Policía Motorizado • La Dinastía Scorpio • 2012 • 🎤: 2,📦 Más o menos bien,2025-12-14T10:31:40.000Z,DRAFT,La Dinastía Scorpio,,2012,a2fm547ks
c1493cet8,Mi peor enemigo,Dillom,,2025-12-01T15:05:37.000Z,,,mi peor enemigo dillom por cesarea 2024,fa1bf642-d361-4c71-998d-1bb47b4cebfe,🚚: Dillom • Por cesárea • 2024 • 🎤: 3,📦 Mi peor enemigo,2025-12-14T10:29:56.000Z,DRAFT,Por cesárea,,2024,a1iwbl4mm
c149l5ddf,La quiero a morir,DLG,,2025-12-18T15:50:29.000Z,,,la quiero a morir dlg baladas en salsa 2004,7dd1de5a-19c2-4a76-86c7-e0705aa3dccf,🚚: DLG • Baladas en salsa • 2004 • 🎤: 1,📦 La quiero a morir,2025-12-18T15:50:32.000Z,DRAFT,Baladas en salsa,pop,2004,a157dy29a
c14dpx0ah,Ironic,Alanis Morissette,,2025-12-02T12:42:26.000Z,,,ironic alanis morissette the collection 2005,5739c5fb-c0c1-4d15-92b5-c9f411a1ba5b,🚚: Alanis Morissette • The Collection • 2005 • 🎤: 1,📦 Ironic,2025-12-14T10:31:38.000Z,DRAFT,The Collection,,2005,a148sksm4
